store_name,store_code,store_location,store_category,store_PriceCategory
Sixer,IMM00213,Emerald Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Florence,IMM00214,Emerald Mall,Men's Fashion,Premium
Rockies ,IMM00215,Emerald Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Goth ,IMM00216,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Sweet Secrets,IMM00219,Emerald Mall,Women's Fashion,Premium
Aliya,IMM00220,Emerald Mall,"Jewellery,Gifts & Toys",Premium
Gateway Of India,IMM00221,Emerald Mall,"Accessories,Gifts & Toys",Premium
My Secret,IMM00223,Emerald Mall,Women's Fashion,Premium
Sprinkles,IMA00001,Diamond Mall,"Accessories,Jewellery,Women's Fashion",Premium
Steelcase House,IMA00003,Diamond Mall,Travel,Premium
Rang Bi Rangi,IMA00006,Diamond Mall,Women's Fashion,Value
Das Shoes,IMA00007,Diamond Mall,"Accessories,Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Triage Sportswear,IMA00011,Diamond Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Chronology In Time,IMA00015,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Juicer,IMA00017,Diamond Mall,Food & Beverage,Value
Pretty A La Mode,IMA00021,Diamond Mall,Women's Fashion,Premium
Latte World,IMA00022,Diamond Mall,Food & Beverage,Premium
American Stripes,IMA00024,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Xyz,IMM00222,Emerald Mall,Women's Fashion,Premium
Jack Beanstalk,IMM00217,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Lal Mahal,IMA00026,Diamond Mall,Food & Beverage,Premium
Denims,IMA00028,Diamond Mall,Women's Fashion,Premium
Elena Angelina,IMA00029,Diamond Mall,Women's Fashion,Premium
Horseplay,IMA00030,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Krafted Shoes,IMA00032,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Indian Filter Coffee,IMA00033,Diamond Mall,Food & Beverage,Value
Jupiter Opticals,IMA00037,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Royal Burgers,IMA00047,Diamond Mall,Food & Beverage,Value
Abhinetri Luxe,IMA00050,Diamond Mall,Beauty & Grooming,Premium
The Malnad Coast,IMA00027,Diamond Mall,Food & Beverage,Value
Pouch Babywear,IMA00043,Diamond Mall,Kids Fashion,Premium
Grains & More,IMA00052,Diamond Mall,Grocery & Household,Value
Digiitized World,IMA00053,Diamond Mall,"Electronics,Entertainment & Leisure",Value
The Original Denim,IMA00054,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Pants & More,IMA00057,Diamond Mall,"Kids Fashion,Accessories,Women's Fashion,Men's Fashion",Value
Chiang Mai Foot Spa,IMA00058,Diamond Mall,Health & Wellness,Premium
Pan & Spatula,IMA00045,Diamond Mall,Home & Lifestyle,Premium
Red Stripes Ice Cream Kiosk,IMA00056,Diamond Mall,Food & Beverage,Value
T Mobiles,IMA00059,Diamond Mall,Electronics,Value
Ajay Electronics,IMA00060,Diamond Mall,Electronics,Premium
Streetside Store,IMA00061,Diamond Mall,"Kids Fashion,Accessories,Women's Fashion,Men's Fashion",Premium
31 Flavours,IMA00069,Diamond Mall,Food & Beverage,Premium
Dots Dash Pizza,IMA00031,Diamond Mall,Food & Beverage,Value
Platter From China,IMA00016,Diamond Mall,Food & Beverage,Value
Faloodas & More,IMA00018,Diamond Mall,Food & Beverage,Value
Bombay Rolls,IMA00063,Diamond Mall,Food & Beverage,Value
Wuffles,IMA00064,Diamond Mall,Food & Beverage,Value
Choco Stix,IMA00072,Diamond Mall,Food & Beverage,Value
Bumpy Rides,IMA00073,Diamond Mall,Entertainment & Leisure,Value
Striped Candies,IMA00071,Diamond Mall,Food & Beverage,Value
Sweet Cane Juices,IMA00074,Diamond Mall,Food & Beverage,Value
Fried Wings,IMA00065,Diamond Mall,Food & Beverage,Value
Wide Hat Pizza,IMA00066,Diamond Mall,Food & Beverage,Value
Win Mobiles,IMA00067,Diamond Mall,Electronics,Value
Haiku Lingerie,IMA00068,Diamond Mall,Women's Fashion,Premium
Heathrow Denims,IMA00008,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
HaHa Cosmetics,IMA00036,Diamond Mall,Beauty & Grooming,Premium
Jhumkis & More,IMA00040,Diamond Mall,"Accessories,Jewellery",Value
Waffle It Down,IMA00046,Diamond Mall,Food & Beverage,Value
Hypercoaster 12D,NA-IMA0001,Diamond Mall,NA,Value
One Small Peg,NA-IMA0002,Diamond Mall,NA,Value
5D Rider,NA-IMA0003,Diamond Mall,NA,Value
Python,NA-IMA0004,Diamond Mall,NA,Value
Belts & More (Men),NA-IMA0005,Diamond Mall,"Accessories,Men's Fashion",Value
Belts & More (Women),NA-IMA0006,Diamond Mall,"Accessories,Women's Fashion",Value
Oscar,NA-IMA0007,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
All,NA-IMA0008,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Khaki Fridays,NA-IMA0009,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Amore,NA-IMA0010,Diamond Mall,Food & Beverage,Premium
Anita Jaipur,NA-IMA0011,Diamond Mall,NA,Premium
Jughead,NA-IMA0012,Diamond Mall,NA,Value
Milano Jeans,NA-IMA0013,Diamond Mall,NA,Premium
Cuffs,NA-IMA0014,Diamond Mall,Men's Fashion,Premium
Ayesha,NA-IMA0015,Diamond Mall,"Accessories,Jewellery,Women's Fashion",Value
Bags & Wallets,NA-IMA0016,Diamond Mall,"Accessories,Women's Fashion",Value
Mary Janes,NA-IMA0018,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Homosapiens,NA-IMA0019,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Elephant Polo,NA-IMA0020,Diamond Mall,Men's Fashion,Premium
Maha Bazaar,NA-IMA0021,Diamond Mall,"Electronics,Kids Fashion,Accessories,Grocery & Household,Home & Lifestyle,Women's Fashion,Men's Fashion,Books and Stationery,Gifts & Toys",Value
Greenberry Men'S,NA-IMA0022,Diamond Mall,Men's Fashion,Premium
Mumbai Waves,NA-IMA0023,Diamond Mall,NA,Premium
Tubs & Grubs,NA-IMA0024,Diamond Mall,NA,Value
Cafe Platter,NA-IMA0025,Diamond Mall,NA,Premium
Cafe Telaviv,NA-IMA0026,Diamond Mall,NA,Premium
Bay Side Pizza,NA-IMA0027,Diamond Mall,Food & Beverage,Premium
Melwin Jeans,NA-IMA0028,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Lollipops,NA-IMA0029,Diamond Mall,NA,Value
L'Paris,NA-IMA0030,Diamond Mall,Men's Fashion,Premium
Beauty Palete,NA-IMA0031,Diamond Mall,NA,Value
Cinestar Word,NA-IMA0032,Diamond Mall,Entertainment & Leisure,Value
Quay Footwear,NA-IMA0033,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Biscuit Maker,NA-IMA0034,Diamond Mall,Food & Beverage,Premium
Clogs,NA-IMA0036,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Khalifa Jewels,NA-IMA0037,Diamond Mall,NA,Premium
Jumpin Beans,NA-IMA0039,Diamond Mall,NA,Value
Gizmo World,NA-IMA0040,Diamond Mall,NA,Value
Indian Traditions,NA-IMA0041,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Fabric En Inde,NA-IMA0042,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Arabic Treats,NA-IMA0043,Diamond Mall,Food & Beverage,Value
Chic Bazaar,NA-IMA0045,Diamond Mall,NA,Value
Young Lady,NA-IMA0046,Diamond Mall,NA,Premium
Sweet Sixteen,NA-IMA0047,Diamond Mall,Women's Fashion,Premium
Gameon!,NA-IMA0048,Diamond Mall,"Electronics,Entertainment & Leisure",Premium
American University,NA-IMA0049,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Jack&Jill,NA-IMA0050,Diamond Mall,Kids Fashion,Premium
Susan'S Coffee,NA-IMA0051,Diamond Mall,NA,Value
Glossy Shoes,NA-IMA0052,Diamond Mall,Women's Fashion,Premium
Tin Soldiers,NA-IMA0053,Diamond Mall,Gifts & Toys,Premium
Juicy Juices,NA-IMA0054,Diamond Mall,Food & Beverage,Value
Guardwell Pharma,NA-IMA0055,Diamond Mall,Health & Wellness,Value
Weekends,NA-IMA0056,Diamond Mall,Gifts & Toys,Value
Rang Bi Rangi,NA-IMA0057,Diamond Mall,NA,Premium
Hotel Panch Swaad,NA-IMA0058,Diamond Mall,NA,Premium
Dessertz World,NA-IMA0061,Diamond Mall,NA,Premium
John & Jane,NA-IMA0064,Diamond Mall,Men's Fashion,Premium
Mahotsav,NA-IMA0065,Diamond Mall,Women's Fashion,Premium
Comfort Innerwear,NA-IMA0066,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Taiwan Bubble,NA-IMA0044,Diamond Mall,NA,Value
Indian Earrings,NA-IMA0067,Diamond Mall,NA,Premium
Indian Skin Clinic,NA-IMA0068,Diamond Mall,Health & Wellness,Premium
Lal Mahal Kebabs,NA-IMA0069,Diamond Mall,Food & Beverage,Value
Angels Lingerie,NA-IMA0071,Diamond Mall,Women's Fashion,Premium
Racquet,NA-IMA0072,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Books & Toys World,NA-IMA0073,Diamond Mall,NA,Premium
Live Life Bags,NA-IMA0074,Diamond Mall,"Accessories,Women's Fashion",Premium
Kansas Denims,NA-IMA0075,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Kaffir,NA-IMA0076,Diamond Mall,NA,Value
Little Giants,NA-IMA0077,Diamond Mall,NA,Value
King George V,NA-IMA0078,Diamond Mall,Men's Fashion,Premium
Donutworld,NA-IMA0079,Diamond Mall,Food & Beverage,Value
The Great Wall Of China,NA-IMA0080,Diamond Mall,Food & Beverage,Premium
Peach Crush,NA-IMA0081,Diamond Mall,NA,Premium
Jeff & Bridges,NA-IMA0082,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Jaya Jewels,NA-IMA0084,Diamond Mall,NA,Premium
Wizard,NA-IMA0086,Diamond Mall,NA,Value
Workshoes,NA-IMA0087,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Wallace Milkshakes,NA-IMA0070,Diamond Mall,Food & Beverage,Value
Maximum,NA-IMA0083,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Mother'S Baby,NA-IMA0088,Diamond Mall,Kids Fashion,Premium
All-In-One,NA-IMA0089,Diamond Mall,Home & Lifestyle,Value
Panjab De Paranthe,NA-IMA0090,Diamond Mall,Food & Beverage,Value
Eiffel Cosmetics,NA-IMA0091,Diamond Mall,Beauty & Grooming,Premium
Panch Swaad,NA-IMA0092,Diamond Mall,NA,Premium
Fragrance World,NA-IMA0093,Diamond Mall,Beauty & Grooming,Premium
Sidewalk Shoes,NA-IMA0094,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Hypercoaster,NA-IMA0095,Diamond Mall,NA,Premium
Hypercoaster Fec,NA-IMA0096,Diamond Mall,NA,Premium
Bollywood Fashion,NA-IMA0097,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
24 Carat,NA-IMA0098,Diamond Mall,NA,Premium
Crystal Homeware,NA-IMA0099,Diamond Mall,Home & Lifestyle,Premium
Q Shoes,NA-IMA0101,Diamond Mall,NA,Value
Red Raincoat,NA-IMA0102,Diamond Mall,NA,Value
Electronics Galore,NA-IMA0103,Diamond Mall,Electronics,Premium
Foot Galore,NA-IMA0104,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Fashionz,NA-IMA0105,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Value
Julietta,NA-IMA0106,Diamond Mall,NA,Premium
Rollover,NA-IMA0107,Diamond Mall,NA,Value
Griller,NA-IMA0108,Diamond Mall,"Food & Beverage,Grocery & Household",Value
Parampari Ethnics,NA-IMA0109,Diamond Mall,NA,Value
Eastern Craft,NA-IMA0110,Diamond Mall,NA,Premium
Red Dot Ethnics,NA-IMA0111,Diamond Mall,Women's Fashion,Premium
Monica Bling,NA-IMA0114,Diamond Mall,"Kids Fashion,Women's Fashion,Men's Fashion",Premium
Dart Board,NA-IMA0115,Diamond Mall,NA,Premium
Squeezy Juices,NA-IMA0116,Diamond Mall,Food & Beverage,Value
Bean & Bud ,NA-IMA0118,Diamond Mall,Food & Beverage,Premium
Force ,NA-IMA0119,Diamond Mall,NA,Value
Travel Fx,NA-IMA0120,Diamond Mall,NA,Value
Treasure Trove,NA-IMA0121,Diamond Mall,NA,Premium
Lorenzo'S Rosso,NA-IMA0122,Diamond Mall,NA,Premium
The Yoga Studio,NA-IMA0123,Diamond Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Ny Shirts,NA-IMA0124,Diamond Mall,Men's Fashion,Premium
Timepieces,NA-IMA0126,Diamond Mall,NA,Premium
Streetside Store,NA-IMA0127,Diamond Mall,"Kids Fashion,Accessories,Women's Fashion,Men's Fashion",Premium
Www,NA-IMA0128,Diamond Mall,NA,Premium
Hotdogs ,NA-IMA0129,Diamond Mall,NA,Value
Fresh Waves,NA-IMA0112,Diamond Mall,Women's Fashion,Value
Engine Denims,NA-IMA0113,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Xyz,NA-IMA0125,Diamond Mall,Women's Fashion,Premium
Layla,NA-IMA0130,Diamond Mall,Women's Fashion,Premium
Altitude,NA-IMA0131,Diamond Mall,NA,Premium
Pants & More,IMM00086,Emerald Mall,"Kids Fashion,Accessories,Women's Fashion,Men's Fashion",Value
Take 5,IMM00224,Emerald Mall,NA,Value
Hypercoaster 12D,NA-IMM0001,Emerald Mall,NA,Value
One Small Peg,NA-IMM0002,Emerald Mall,NA,Value
5D Rider,NA-IMM0003,Emerald Mall,NA,Value
7D Rider,NA-IMM0004,Emerald Mall,NA,Value
Python,NA-IMM0005,Emerald Mall,NA,Value
Anita Jaipur,NA-IMM0006,Emerald Mall,NA,Premium
Jughead,NA-IMM0007,Emerald Mall,NA,Value
Milano Jeans,NA-IMM0008,Emerald Mall,NA,Premium
Travel Bags,NA-IMM0009,Emerald Mall,NA,Value
Doll House,NA-IMM0010,Emerald Mall,NA,Premium
Altitude,NA-IMM0011,Emerald Mall,NA,Premium
Disco Fashion,NA-IMM0012,Emerald Mall,NA,Premium
Elephant Polo,NA-IMM0013,Emerald Mall,NA,Premium
Melting Craft,NA-IMM0016,Emerald Mall,NA,Value
Shan San,NA-IMM0015,Emerald Mall,Food & Beverage,Value
Lin'S Home,IMM00225,Emerald Mall,Electronics,Value
Mumbai Waves,NA-IMM0017,Emerald Mall,NA,Premium
Ballard Pier,NA-IMM0018,Emerald Mall,NA,Premium
Bellisima,NA-IMM0019,Emerald Mall,NA,Premium
Tubs & Grubs,NA-IMM0020,Emerald Mall,NA,Value
Cafe Platter,NA-IMM0021,Emerald Mall,NA,Premium
Cafe Telaviv,NA-IMM0022,Emerald Mall,NA,Premium
Beauty Palete,NA-IMM0023,Emerald Mall,NA,Value
Smoothy,NA-IMM0024,Emerald Mall,NA,Value
Handcreams For You,NA-IMM0026,Emerald Mall,NA,Premium
Julian Woods,NA-IMM0028,Emerald Mall,NA,Premium
Default,NA-IMM0029,Emerald Mall,NA,Value
Gizmo World,NA-IMM0030,Emerald Mall,NA,Value
Tiktok Watches,NA-IMM0031,Emerald Mall,NA,Value
Chic Bazaar,NA-IMM0032,Emerald Mall,NA,Value
Oceana Cafeteria,NA-IMM0034,Emerald Mall,NA,Premium
Grains & More,NA-IMM0035,Emerald Mall,Grocery & Household,Value
Sabzi Mandi,NA-IMM0036,Emerald Mall,NA,Value
Young Lady,NA-IMM0037,Emerald Mall,NA,Premium
The Rainbow Bar,NA-IMM0025,Emerald Mall,Accessories,Value
Chromatic,NA-IMM0027,Emerald Mall,Electronics,Premium
London Paris,NA-IMM0038,Emerald Mall,NA,Premium
Digiitized World,NA-IMM0040,Emerald Mall,"Electronics,Entertainment & Leisure",Value
Gaming,NA-IMM0041,Emerald Mall,NA,Value
Chokers,NA-IMM0042,Emerald Mall,NA,Premium
Genoa,NA-IMM0043,Emerald Mall,NA,Premium
Susan'S Coffee,NA-IMM0044,Emerald Mall,NA,Value
Munch It Up,NA-IMM0045,Emerald Mall,NA,Value
What?,NA-IMM0046,Emerald Mall,NA,Premium
Horos,NA-IMM0047,Emerald Mall,NA,Premium
Rang Bi Rangi,NA-IMM0048,Emerald Mall,NA,Premium
Hotel Panch Swaad,NA-IMM0050,Emerald Mall,NA,Premium
Dessertz World,NA-IMM0052,Emerald Mall,NA,Value
Style In India,NA-IMM0053,Emerald Mall,NA,Value
Henri Salon,NA-IMM0054,Emerald Mall,Beauty & Grooming,Premium
Juicer,NA-IMM0055,Emerald Mall,Food & Beverage,Value
Indian Earrings,NA-IMM0056,Emerald Mall,NA,Premium
Sushmita Jewels,NA-IMM0057,Emerald Mall,NA,Premium
Frozen Milk,NA-IMM0039,Emerald Mall,Food & Beverage,Value
Home & Kitchen,NA-IMM0049,Emerald Mall,Home & Lifestyle,Premium
Beagles & Hounds,NA-IMM0051,Emerald Mall,Men's Fashion,Premium
Books & Toys World,NA-IMM0059,Emerald Mall,NA,Premium
The 4Th Quarter,NA-IMM0060,Emerald Mall,NA,Premium
Floradelic,NA-IMM0061,Emerald Mall,NA,Premium
Kaffir,NA-IMM0062,Emerald Mall,NA,Value
Little Giants,NA-IMM0064,Emerald Mall,NA,Value
Pouch Babywear,NA-IMM0065,Emerald Mall,Kids Fashion,Premium
CSK Café,NA-IMM0067,Emerald Mall,NA,Premium
Peach Crush,NA-IMM0068,Emerald Mall,NA,Premium
Jaya Jewels,NA-IMM0070,Emerald Mall,NA,Premium
Juhu Weddings,NA-IMM0071,Emerald Mall,NA,Premium
Garnet ,NA-IMM0072,Emerald Mall,NA,Premium
Krafted Shoes,NA-IMM0073,Emerald Mall,"Women's Fashion,Men's Fashion",Value
7 Petals ,NA-IMM0074,Emerald Mall,NA,Premium
Moi,NA-IMM0075,Emerald Mall,NA,Value
Organic Skin Care,NA-IMM0076,Emerald Mall,NA,Premium
Panch Swaad,NA-IMM0077,Emerald Mall,NA,Premium
Bond Street Women,NA-IMM0078,Emerald Mall,NA,Premium
John Smith ,NA-IMM0079,Emerald Mall,Men's Fashion,Premium
Specstore,NA-IMM0063,Emerald Mall,Accessories,Premium
Luxeindulge,NA-IMM0066,Emerald Mall,NA,Premium
Hypercoaster,NA-IMM0080,Emerald Mall,NA,Premium
Hypercoaster Fec,NA-IMM0081,Emerald Mall,NA,Premium
Stadium,NA-IMM0082,Emerald Mall,NA,Value
Style Bedwear,NA-IMM0083,Emerald Mall,NA,Premium
24 Carat,NA-IMM0084,Emerald Mall,NA,Premium
Q Shoes,NA-IMM0086,Emerald Mall,NA,Value
Pilot,NA-IMM0087,Emerald Mall,NA,Premium
Julietta,NA-IMM0088,Emerald Mall,NA,Premium
Scream,NA-IMM0089,Emerald Mall,NA,Premium
Rollover,NA-IMM0090,Emerald Mall,NA,Value
Chiang Mai Foot Spa,NA-IMM0091,Emerald Mall,Health & Wellness,Premium
Parampari Ethnics,NA-IMM0092,Emerald Mall,NA,Value
Abstract Ties,NA-IMM0093,Emerald Mall,NA,Super Premium
Kayak,NA-IMM0094,Emerald Mall,NA,Premium
The Dead Sea,NA-IMM0095,Emerald Mall,NA,Premium
Eastern Craft,NA-IMM0096,Emerald Mall,NA,Premium
Sicily,NA-IMM0097,Emerald Mall,NA,Premium
Mishti Mithai,NA-IMM0099,Emerald Mall,NA,Value
Dart Board,NA-IMM0100,Emerald Mall,NA,Premium
Tnt Multiplex,NA-IMM0085,Emerald Mall,NA,Premium
Nature'S Cosmetics,NA-IMM0101,Emerald Mall,NA,Premium
Log Land,NA-IMM0102,Emerald Mall,NA,Premium
Force ,NA-IMM0103,Emerald Mall,NA,Value
Treasure Trove,NA-IMM0104,Emerald Mall,NA,Premium
Lorenzo'S Rosso Bambii,NA-IMM0105,Emerald Mall,NA,Premium
Ajay Electronics,NA-IMM0106,Emerald Mall,Electronics,Premium
Timepieces,NA-IMM0107,Emerald Mall,NA,Premium
Classic Style,NA-IMM0108,Emerald Mall,NA,Premium
Kid Years,NA-IMM0109,Emerald Mall,NA,Premium
Shinez,NA-IMM0110,Emerald Mall,NA,Value
Hotdogs ,NA-IMM0111,Emerald Mall,NA,Value
Hotdogs & Rolls,NA-IMM0112,Emerald Mall,NA,Value
Italian Run,NA-IMM0033,Emerald Mall,Sports & Fitness,Premium
Red Stripes Kiosk,NA-IMA0085,Diamond Mall,Food & Beverage,Value
Red Stripes,IMA00055,Diamond Mall,Food & Beverage,Value
Red Stripes,IMM00202,Emerald Mall,Food & Beverage,Value
Plantorganics,NA-IMA0117,Diamond Mall,Beauty & Grooming,Premium
Tnt Gold,NA-IMA0100,Diamond Mall,Entertainment & Leisure,Premium
Handcrafted,NA-IMM0113,Emerald Mall,Electronics,Premium
